43138.66   5.
43140.654 23.
43141.829 26.
43142.775 26.
43143.702 36.
43144.758 38.
43146.664 43.
43147.651 40.
43200.559 10.
43878.7   30.
43879.778 32.
43880.731 45.
43881.689 43.
43881.717 41.
43882.698 44.
43883.673 33.
43885.651 20.
43886.657 12.
43887.661 21.
43888.647  8.
43890.668 18.
43892.643 15.
43893.675 26.
43894.682 35.
43914.591 39.
43915.598 36.
43920.569  9.
44137.879 39.
44138.859 40.
44139.868 34.
44142.869 23.
44143.874 11.
44144.87  10.
44145.861  9.
44265.633 38.
44266.6   47.
44267.625 44.
44269.615 23.
44270.628 17.
44271.608 14.
44272.585  7.
44273.631  2.
44274.603 12.
44276.607 18.
44277.571 25.
44377.486 38.
56967.004 29.
56970.135 18.
